tile	nucleus	intensity
10	22	4657716
10	23	3016542
10	24	1692738
10	25	5539605
10	26	513189
10	27	4809969
10	28	5836904
10	29	3289209
10	30	6021844
10	31	534920
10	32	3588880
10	33	2018419
10	34	357423
10	35	7374648
10	36	1867447
10	37	595933
10	38	12612105
10	39	6151442
10	40	6474965
10	41	8678140
10	42	4179683
10	43	727000
10	44	1101448
10	45	712005
10	46	3762205
10	47	2948075
10	48	2728693
10	49	980731
10	50	761019
10	51	2631351
10	52	3153599
10	53	2419626
10	54	1764428
10	55	6820786
10	56	3943517
10	57	239837
10	58	6053365
10	59	467168
10	60	1602615
10	61	1145077
10	62	1456338
10	63	5192490
10	64	4103798
10	65	1785401
10	66	2549697
10	67	1656055
10	68	1915926
10	69	2257138
10	70	4299103
10	71	310685
10	72	2698767
10	73	120791
11	1	862271
11	2	741379
11	3	1467514
11	4	6207316
11	5	5080443
11	6	1765005
11	7	8567599
11	8	3751411
11	9	6603034
11	10	1538536
11	11	6199345
11	12	4219942
11	13	2329092
11	14	4744073
11	15	2221920
11	16	1093221
11	17	813478
11	18	4101339
11	19	3612378
11	20	5116499
11	21	8302503
11	22	449938
11	23	562366
11	24	4227588
11	25	2368119
11	26	7080618
11	27	726177
11	28	6698971
11	29	5389193
11	30	978076
11	31	3290717
11	32	8113056
11	33	2127114
11	34	2417978
11	35	286666
11	36	250882
11	37	1421989
11	38	4261019
11	39	268810
11	40	377298
11	41	5410474
11	42	1521092
11	43	442614
11	44	176685
11	45	397410
11	46	1140838
11	47	2497966
11	48	522550
11	49	1174916
11	50	899991
11	51	1195679
12	1	53875
12	2	102743
12	3	41701
12	4	33411
12	5	28683
12	6	25389
12	7	31375
12	8	25040
12	9	31213
12	10	60768
12	11	66694
12	12	27483
12	13	85643
12	14	42642
12	15	31967
12	16	48275
12	17	393471
12	18	32106
12	19	54266
12	20	35476
12	21	94031
12	22	29941
12	23	27366
12	24	38998
12	25	28072
12	26	22868
12	27	70617
12	28	23027
12	29	114422
12	30	23088
12	31	37768
12	32	27443
12	33	35438
12	34	93684
12	35	22582
12	36	46924
12	37	74790
12	38	29014
12	39	79953
12	40	25342
12	41	22069
12	42	25013
12	43	55953
12	44	40341
12	45	61249
12	46	457705
12	47	39046
12	48	35991
12	49	102959
12	50	78064
12	51	50129
12	52	45606
12	53	31631
12	54	33052
12	55	38532
12	56	23776
12	57	38977
12	58	25979
12	59	43434
15	1	352973
15	2	1557535
15	3	804799
15	4	696822
15	5	1092565
15	6	3990111
15	7	2166967
15	8	787285
15	9	1792315
15	10	714746
15	11	3193967
15	12	1202453
15	13	1425819
15	14	1450696
15	15	454475
15	16	6860850
15	17	1799030
15	18	1382268
15	19	1861940
15	20	1202935
15	21	1001436
15	22	1490232
15	23	2019916
15	24	1626455
15	25	949903
15	26	182694
15	27	736753
15	28	466355
15	29	1032353
15	30	167069
15	31	818066
15	32	659100
15	33	2313201
15	34	1651203
15	35	852285
15	36	210363
15	37	1270330
15	38	1202138
15	39	1018071
15	40	189334
16	1	823222
16	2	4243100
16	3	3276989
16	4	2090950
16	5	730408
16	6	2525764
16	7	4431900
16	8	3162372
16	9	1027525
16	10	1534581
16	11	8844842
16	12	4559988
16	13	2907846
16	14	620001
16	15	743034
16	16	1422973
16	17	485538
16	18	2366678
16	19	1236381
16	20	322353
16	21	1099732
16	22	1761012
16	23	2142802
16	24	1711102
16	25	13956807
16	26	9563398
16	27	942907
16	28	2395696
16	29	1151114
16	30	873751
16	31	450388
16	32	10005879
16	33	3021886
16	34	1772287
